base_case_id,state,region_id,season,label,scenario_type,score,decision,abstained,score_delta_vs_observed,decision_changed,evidence_completeness,imputation
V08-CON-SUY-WIN-19,as_observed,suyeong,winter,abnormal,post_sunrise_persistent_activation,0.46933333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-19,load_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,0.46933333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-19,weather_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,0.46933333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-19,phase_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,0.44000000,normal,false,-0.02933333,false,0.33333333,none
V08-CON-SUY-WIN-20,as_observed,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-20,load_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-20,weather_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-20,phase_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,0.99120000,anomaly,false,-0.00880000,false,0.33333333,none
V08-CON-SUY-WIN-21,as_observed,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-21,load_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-21,weather_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-21,phase_unavailable,suyeong,winter,abnormal,post_sunrise_persistent_activation,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-22,as_observed,suyeong,winter,abnormal,deep_day_partial_activation,0.46933333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-22,load_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,0.46933333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-22,weather_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,0.46933333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-22,phase_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,0.44000000,normal,false,-0.02933333,false,0.33333333,none
V08-CON-SUY-WIN-23,as_observed,suyeong,winter,abnormal,deep_day_partial_activation,0.77033333,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-23,load_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,0.66256667,anomaly,false,-0.10776667,false,0.66666667,none
V08-CON-SUY-WIN-23,weather_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,0.77033333,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-23,phase_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,0.69886667,anomaly,false,-0.07146667,false,0.66666667,none
V08-CON-SUY-WIN-24,as_observed,suyeong,winter,abnormal,deep_day_partial_activation,1.00000000,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-24,load_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-24,weather_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-24,phase_unavailable,suyeong,winter,abnormal,deep_day_partial_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-25,as_observed,suyeong,winter,abnormal,deep_day_full_activation,0.33966667,normal,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-25,load_unavailable,suyeong,winter,abnormal,deep_day_full_activation,0.26583333,normal,false,-0.07383333,false,0.66666667,none
V08-CON-SUY-WIN-25,weather_unavailable,suyeong,winter,abnormal,deep_day_full_activation,0.33966667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-25,phase_unavailable,suyeong,winter,abnormal,deep_day_full_activation,0.30763333,normal,false,-0.03203333,false,0.66666667,none
V08-CON-SUY-WIN-26,as_observed,suyeong,winter,abnormal,deep_day_full_activation,0.77033333,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-26,load_unavailable,suyeong,winter,abnormal,deep_day_full_activation,0.66256667,anomaly,false,-0.10776667,false,0.66666667,none
V08-CON-SUY-WIN-26,weather_unavailable,suyeong,winter,abnormal,deep_day_full_activation,0.77033333,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-26,phase_unavailable,suyeong,winter,abnormal,deep_day_full_activation,0.69886667,anomaly,false,-0.07146667,false,0.66666667,none
V08-CON-SUY-WIN-27,as_observed,suyeong,winter,abnormal,phase_selective_activation,1.00000000,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-27,load_unavailable,suyeong,winter,abnormal,phase_selective_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-27,weather_unavailable,suyeong,winter,abnormal,phase_selective_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-27,phase_unavailable,suyeong,winter,abnormal,phase_selective_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-28,as_observed,suyeong,winter,abnormal,phase_selective_activation,0.52466667,normal,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-28,load_unavailable,suyeong,winter,abnormal,phase_selective_activation,0.46933333,normal,false,-0.05533333,false,0.66666667,none
V08-CON-SUY-WIN-28,weather_unavailable,suyeong,winter,abnormal,phase_selective_activation,0.52466667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-28,phase_unavailable,suyeong,winter,abnormal,phase_selective_activation,0.51113333,abstain,true,-0.01353333,true,0.66666667,none
V08-CON-SUY-WIN-29,as_observed,suyeong,winter,abnormal,weak_long_duration_activation,0.94966667,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-29,load_unavailable,suyeong,winter,abnormal,weak_long_duration_activation,0.85983333,anomaly,false,-0.08983333,false,0.66666667,none
V08-CON-SUY-WIN-29,weather_unavailable,suyeong,winter,abnormal,weak_long_duration_activation,0.94966667,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-29,phase_unavailable,suyeong,winter,abnormal,weak_long_duration_activation,0.89613333,anomaly,false,-0.05353333,false,0.66666667,none
V08-CON-SUY-WIN-30,as_observed,suyeong,winter,abnormal,weak_long_duration_activation,1.00000000,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-30,load_unavailable,suyeong,winter,abnormal,weak_long_duration_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-30,weather_unavailable,suyeong,winter,abnormal,weak_long_duration_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-30,phase_unavailable,suyeong,winter,abnormal,weak_long_duration_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-31,as_observed,suyeong,winter,abnormal,moderate_load_mismatch,0.40133333,normal,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-31,load_unavailable,suyeong,winter,abnormal,moderate_load_mismatch,0.33366667,normal,false,-0.06766667,false,0.66666667,none
V08-CON-SUY-WIN-31,weather_unavailable,suyeong,winter,abnormal,moderate_load_mismatch,0.40133333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-31,phase_unavailable,suyeong,winter,abnormal,moderate_load_mismatch,0.37546667,normal,false,-0.02586667,false,0.66666667,none
V08-CON-SUY-WIN-32,as_observed,suyeong,winter,abnormal,moderate_load_mismatch,0.94966667,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-32,load_unavailable,suyeong,winter,abnormal,moderate_load_mismatch,0.85983333,anomaly,false,-0.08983333,false,0.66666667,none
V08-CON-SUY-WIN-32,weather_unavailable,suyeong,winter,abnormal,moderate_load_mismatch,0.94966667,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-32,phase_unavailable,suyeong,winter,abnormal,moderate_load_mismatch,0.89613333,anomaly,false,-0.05353333,false,0.66666667,none
V08-CON-SUY-WIN-33,as_observed,suyeong,winter,abnormal,partial_activation_long_persistence,1.00000000,anomaly,false,0.00000000,false,1.00000000,none
V08-CON-SUY-WIN-33,load_unavailable,suyeong,winter,abnormal,partial_activation_long_persistence,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-33,weather_unavailable,suyeong,winter,abnormal,partial_activation_long_persistence,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-33,phase_unavailable,suyeong,winter,abnormal,partial_activation_long_persistence,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-34,as_observed,suyeong,winter,abnormal,partial_activation_long_persistence,0.64800000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-34,load_unavailable,suyeong,winter,abnormal,partial_activation_long_persistence,0.60500000,anomaly,false,-0.04300000,false,0.33333333,none
V08-CON-SUY-WIN-34,weather_unavailable,suyeong,winter,abnormal,partial_activation_long_persistence,0.64800000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-34,phase_unavailable,suyeong,winter,abnormal,partial_activation_long_persistence,0.64680000,anomaly,false,-0.00120000,false,0.33333333,none
V08-CON-SUY-WIN-35,as_observed,suyeong,winter,abnormal,phase_anomaly_moderate_activation,0.77033333,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-35,load_unavailable,suyeong,winter,abnormal,phase_anomaly_moderate_activation,0.66256667,anomaly,false,-0.10776667,false,0.33333333,none
V08-CON-SUY-WIN-35,weather_unavailable,suyeong,winter,abnormal,phase_anomaly_moderate_activation,0.77033333,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-35,phase_unavailable,suyeong,winter,abnormal,phase_anomaly_moderate_activation,0.69886667,anomaly,false,-0.07146667,false,0.33333333,none
V08-CON-SUY-WIN-36,as_observed,suyeong,winter,abnormal,phase_anomaly_moderate_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-36,load_unavailable,suyeong,winter,abnormal,phase_anomaly_moderate_activation,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-36,weather_unavailable,suyeong,winter,abnormal,phase_anomaly_moderate_activation,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-36,phase_unavailable,suyeong,winter,abnormal,phase_anomaly_moderate_activation,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-01,as_observed,suyeong,spring,normal,normal_full_operation,0.28526667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-01,load_unavailable,suyeong,spring,normal,normal_full_operation,0.28526667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-01,weather_unavailable,suyeong,spring,normal,normal_full_operation,0.28526667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-01,phase_unavailable,suyeong,spring,normal,normal_full_operation,0.31120000,normal,false,0.02593333,false,0.33333333,none
V08-CON-SUY-SPR-02,as_observed,suyeong,spring,normal,normal_full_operation,0.34723333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-02,load_unavailable,suyeong,spring,normal,normal_full_operation,0.34723333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-02,weather_unavailable,suyeong,spring,normal,normal_full_operation,0.34723333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-02,phase_unavailable,suyeong,spring,normal,normal_full_operation,0.36800000,normal,false,0.02076667,false,0.33333333,none
V08-CON-SUY-SPR-03,as_observed,suyeong,spring,normal,normal_full_operation,0.37400000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-03,load_unavailable,suyeong,spring,normal,normal_full_operation,0.37400000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-03,weather_unavailable,suyeong,spring,normal,normal_full_operation,0.37400000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-03,phase_unavailable,suyeong,spring,normal,normal_full_operation,0.38640000,normal,false,0.01240000,false,0.33333333,none
V08-CON-SUY-SPR-04,as_observed,suyeong,spring,normal,twilight_boundary_operation,0.06143333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-04,load_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.06143333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-04,weather_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.06143333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-04,phase_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.08520000,normal,false,0.02376667,false,0.33333333,none
V08-CON-SUY-SPR-05,as_observed,suyeong,spring,normal,twilight_boundary_operation,0.21836667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-05,load_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.21836667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-05,weather_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.21836667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-05,phase_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.24560000,normal,false,0.02723333,false,0.33333333,none
V08-CON-SUY-SPR-06,as_observed,suyeong,spring,normal,twilight_boundary_operation,0.48713333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-06,load_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.48713333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-06,weather_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.48713333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-06,phase_unavailable,suyeong,spring,normal,twilight_boundary_operation,0.52800000,abstain,true,0.04086667,true,0.33333333,none
V08-CON-SUY-SPR-07,as_observed,suyeong,spring,normal,short_transient_spike,0.00966667,normal,false,0.00000000,false,1.00000000,none
V08-CON-SUY-SPR-07,load_unavailable,suyeong,spring,normal,short_transient_spike,0.01523333,normal,false,0.00556667,false,0.66666667,none
V08-CON-SUY-SPR-07,weather_unavailable,suyeong,spring,normal,short_transient_spike,0.00966667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-07,phase_unavailable,suyeong,spring,normal,short_transient_spike,0.03063333,normal,false,0.02096667,false,0.66666667,none
V08-CON-SUY-SPR-08,as_observed,suyeong,spring,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-08,load_unavailable,suyeong,spring,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-08,weather_unavailable,suyeong,spring,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-08,phase_unavailable,suyeong,spring,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-09,as_observed,suyeong,spring,normal,short_transient_spike,0.03480000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-09,load_unavailable,suyeong,spring,normal,short_transient_spike,0.03480000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-09,weather_unavailable,suyeong,spring,normal,short_transient_spike,0.03480000,normal,false,0.00000000,false,0.00000000,none
V08-CON-SUY-SPR-09,phase_unavailable,suyeong,spring,normal,short_transient_spike,0.03480000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-SPR-10,as_observed,suyeong,spring,normal,allowed_partial_operation,0.20066667,normal,false,0.00000000,false,1.00000000,none
V08-CON-SUY-SPR-10,load_unavailable,suyeong,spring,normal,allowed_partial_operation,0.22533333,normal,false,0.02466667,false,0.66666667,none
V08-CON-SUY-SPR-10,weather_unavailable,suyeong,spring,normal,allowed_partial_operation,0.20066667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-10,phase_unavailable,suyeong,spring,normal,allowed_partial_operation,0.24073333,normal,false,0.04006667,false,0.66666667,none
V08-CON-SUY-SPR-11,as_observed,suyeong,spring,normal,allowed_partial_operation,0.00433333,normal,false,0.00000000,false,1.00000000,none
V08-CON-SUY-SPR-11,load_unavailable,suyeong,spring,normal,allowed_partial_operation,0.02476667,normal,false,0.02043333,false,0.66666667,none
V08-CON-SUY-SPR-11,weather_unavailable,suyeong,spring,normal,allowed_partial_operation,0.00433333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-SPR-11,phase_unavailable,suyeong,spring,normal,allowed_partial_operation,0.01486667,normal,false,0.01053333,false,0.66666667,none
V08-CON-SUY-SPR-12,as_observed,suyeong,spring,normal,allowed_partial_operation,0.08526667,normal,false,0.00000000,false,0.66666667,none
