smart_uid,province,municipality,road_name,address_road,address_lot,latitude,longitude,lighting_control,sensor_type,manager,manager_phone,data_date,source_file
SMART-44f9e5402a,경기도,가평군,가화로,경기도 가평군 가평읍 가화로 269,경기도 가평군 가평읍 승안리 50-6,37.841948,127.504968,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-a913799163,경기도,가평군,현등사길,,경기도 가평군 조종면 운악리 650,37.866298,127.349744,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-c81a15b1cd,경기도,가평군,운악청계로,경기도 가평군 조종면 운악청계로 84,경기도 가평군 조종면 현리 48-4번지,37.829553,127.349532,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-4db9d431be,경기도,가평군,신천중앙로120번길,,경기도 가평군 설악면 신천리 413-26,37.677626,127.492397,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-4a5b8cfc06,경기도,가평군,기와집길,경기도 가평군 상면 기와집길 9-3,경기도 가평군 상면 연하리 181-13번지,37.805107,127.355912,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-8fce726edd,경기도,가평군,석장모루길,,경기도 가평군 북면 이곡리 13-85,37.878148,127.549071,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-f52d6eec94,경기도,가평군,석봉로77번길,경기도 가평군 가평읍 석봉로 87,경기도 가평군 가평읍 대곡리 147-1번지,37.822958,127.512296,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-77b2eaff2f,경기도,가평군,태평길,경기도 가평군 가평읍 태평길 17,경기도 가평군 가평읍 읍내리 384-2번지,37.828102,127.516567,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-cabd1a180b,경기도,가평군,연인산로,,경기도 가평군 조종면 마일리 산144,37.855463,127.398158,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-ed2d0dbdd5,경기도,가평군,청평역로,,경기도 가평군 청평면 청평리 94-30,37.733406,127.422755,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-4a1ddd8ccf,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.8164767,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-dfd8d66e35,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816422,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-65a60269da,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.563728,126.816574,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-f6e5e6a363,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.563719,126.816514,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-0137988e11,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816587,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-7bff95e6f2,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816584,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-68ac8c9c5a,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.8167161,N,속도센서+카운팅센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-8034ad7c30,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816705,N,속도센서+카운팅센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-cd4dd2481a,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.8165292,N,속도센서+카운팅센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-f7947bad5e,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.816574,N,속도센서+카운팅센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-797bd1e59f,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816406,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-84c2989cd2,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816405,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-c1f884afb9,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.8164767,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-c6399c84b3,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816586,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-252ff9f2ea,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816514,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-2ea4f9af82,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816514,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-453a30e4a8,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.8165292,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-ffc80cd161,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-123,37.56559345,126.8165292,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-22d3828f42,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.8165246,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-d1d16a230c,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816501,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-1864697315,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816519,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-bdfc8c1e81,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816522,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-777d78d9f3,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.8165246,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-ca52535caa,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-156,37.5676834,126.816524,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-a1a4c1451b,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.816671,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-741645ec21,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.8166703,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-62b32cb5e9,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.568395,126.8166703,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-1c7b5da701,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.816687,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-d3c477bedb,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.8166703,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-c468a8281a,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 240-5,37.5692296,126.816685,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-dfe4f3ab24,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 240-5,37.5692296,126.816658,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-f96f6861b7,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 252-4,37.5701294,126.816545,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-1886a0349b,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816705,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-47cf6be3d9,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 252-4,37.5701294,126.8165174,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-39862463a1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816702,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-3cf3f9d6e5,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816716,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-97d9d67612,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816743,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-2024e92f0a,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816745,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-17e732e0c3,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816754,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-851e0aa26c,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816775,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-b19fad2ef0,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.8167161,Y,전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-582ff057ae,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.8167161,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-7a82299a90,서울특별시,강서구,양천로47길,,서울특별시 강서구 가양동 258-3,37.570641,126.8377538,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-ef24cef2f3,서울특별시,강서구,양천로47길,,서울특별시 강서구 가양동 258-3,37.57066701,126.8377538,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-db8ea90d7f,서울특별시,강서구,양천로47길,,서울특별시 강서구 가양동 258-3,37.57066701,126.837783,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-6447ad36e0,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.57340882,126.837201,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-b42cfeccbe,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.573459,126.8372315,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-e515bcac5b,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.57340882,126.8372315,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-de4a088e9f,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 2-17,37.57597922,126.8370585,Y,속도센서+전류센서,서울특별시 강서구청,02-2600-6943,2026-04-13,전국스마트가로등표준데이터.csv
SMART-1dec98b447,충청남도,당진시,유곡2길,충청남도 당진시 유곡2길 21,,36.963144,126.689244,Y,일일 통행 인원 집계+조도센서 등,주식회사 새움,02-468-5755,2026-05-14,전국스마트가로등표준데이터.csv
SMART-ae302d0bf2,충청남도,당진시,해명1로,충청남도 당진시 해명1로 200,,36.980449,126.588425,Y,일일 통행 인원 집계+조도센서 등,주식회사 새움,02-468-5755,2026-05-14,전국스마트가로등표준데이터.csv
SMART-0eabfa7ec6,충청남도,보령시,됫박산1길,충청남도 보령시 됫박산1길 31,충청남도 보령시 신흑동 1440-49,36.31007921,126.5202944,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-12d5b0efd2,충청남도,보령시,신설1길,충청남도 보령시 신설1길 15,충청남도 보령시 동대동 1956,36.34936087,126.6044246,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-625c66da96,충청남도,보령시,천변남길,,충청남도 보령시 동대동 727-16,36.35245805,126.6032402,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-74d8ce543b,충청남도,보령시,수로길,,충청남도 보령시 동대동 561-7,36.34826669,126.6102734,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-8704f4b729,충청남도,보령시,두러뫼길,,충청남도 보령시 동대동 658-4,36.35486118,126.6067144,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-625493f0db,충청남도,보령시,소리길,,충청남도 보령시 대천동 545,36.36096466,126.5799605,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-aa74013d23,충청남도,보령시,새마을2길,,충청남도 보령시 신흑동 1775-236,36.30793672,126.5188513,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-f86bd41559,충청남도,보령시,됫박산2길,충청남도 보령시 됫박산2길 16,충청남도 보령시 신흑동 1440-45,36.30919985,126.5197363,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-b49660d27a,충청남도,보령시,쇳개길,충청남도 보령시 쇳개길 28,충청남도 보령시 대천동 297-43,36.34728053,126.5888139,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-53e38a8721,충청남도,보령시,원뚝길,,충청남도 보령시 대천동 1233,36.34874038,126.5875043,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-f7f64e5ebf,충청남도,보령시,대관초등길,,충청남도 보령시 대천동 503-16,36.35742204,126.5852431,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-0c4cd15d20,충청남도,보령시,성주산로,,충청남도 보령시 성주면 성주리 산39,36.33294323,126.6640205,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-363686551e,충청남도,보령시,만수로,,충청남도 보령시 성주면 개화리 642-142,36.29131822,126.6465576,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-6e598d1f69,충청남도,보령시,은현내동길,,충청남도 보령시 미산면 옥현리 178,36.22322154,126.7076659,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-64850e76cc,충청남도,보령시,야동2길,,충청남도 보령시 남포면 달산리 262,36.29696626,126.5895422,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-43f89b9e0e,충청남도,보령시,창동3길,,충청남도 보령시 남포면 창동리 651-22,36.31779774,126.6043456,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-54195e315d,충청남도,보령시,서해안고속도로,,충청남도 보령시 남포면 제석리 6-2,36.32471499,126.5841111,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-3d283e2042,충청남도,보령시,놀문이길,,충청남도 보령시 천북면 사호리 708,36.49218643,126.4935186,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-72c60650a0,충청남도,보령시,청소큰길,,충청남도 보령시 청소면 진죽리 284,36.45138091,126.5930423,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-cfd168807a,충청남도,보령시,넙티로,,충청남도 보령시 청소면 진죽리 53-2,36.44231634,126.5999516,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-316d89212a,충청남도,보령시,배재길,,충청남도 보령시 주포면 관산리 306-1,36.40620209,126.5832143,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-d1e634f69e,충청남도,보령시,관창공단길,,충청남도 보령시 주교면 관창리 470-2,36.36868619,126.5792844,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-a68e83836c,충청남도,보령시,대터골길,,충청남도 보령시 주교면 주교리 675-2,36.39047734,126.5584709,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-1428106818,충청남도,보령시,대천로,충청남도 보령시 대천로 144,충청남도 보령시 죽정동 421-1,36.35797494,126.6077948,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-4c79971c0e,충청남도,보령시,명암2길,충청남도 보령시 명암2길 21,충청남도 보령시 명천동 172-16,36.34215072,126.6168345,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-48eae620e2,충청남도,보령시,대해로,,충청남도 보령시 궁촌동 24-1,36.34372213,126.5942244,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-0b44771cc9,충청남도,보령시,군마루2길,,충청남도 보령시 신흑동 81-5,36.32369698,126.5398898,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-a1f386a70f,충청남도,보령시,대흥로,,충청남도 보령시 대천동 337-26,36.34975468,126.5917162,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-82c331467d,충청남도,보령시,동현로,충청남도 보령시 동현로 3,충청남도 보령시 동대동 681-4,36.35233218,126.6085718,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-48c2b826f8,충청남도,보령시,중앙로,충청남도 보령시 중앙로 278,충청남도 보령시 대천동 524-5,36.36136892,126.5838119,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-5374ab8a47,충청남도,보령시,대해로,,충청남도 보령시 내항동 336-3,36.34150461,126.5875117,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-035d38c4d7,충청남도,보령시,해망산길,,충청남도 보령시 요암동 611-2,36.32370775,126.5417988,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-a808f0234e,충청남도,보령시,구시11길,,충청남도 보령시 대천동 629-8,36.34676579,126.5927644,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-3a14b329c3,충청남도,보령시,구시9길,,충청남도 보령시 대천동 318-59,36.3481752,126.5927665,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-4ac8de059e,충청남도,보령시,시영길,충청남도 보령시 시영길 18,충청남도 보령시 신흑동 911-51,36.32298502,126.5105513,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-e5d3e24efa,충청남도,보령시,대천항로,,충청남도 보령시 신흑동 911-71,36.32406354,126.509711,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-0e2ec2ab6e,충청남도,보령시,대천항로,,충청남도 보령시 신흑동 산208-4,36.32307179,126.5093433,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-aa7d7a6bac,충청남도,보령시,대천항로,,충청남도 보령시 신흑동 911-135,36.3230278,126.5098313,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-d375bf4372,충청남도,보령시,대해로,,충청남도 보령시 궁촌동 362,36.34330271,126.592308,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-dcd46d5309,충청남도,보령시,구장터로,충청남도 보령시 구장터로 33,충청남도 보령시 대천동 618-89,36.34753118,126.5956123,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-bf109e62fc,충청남도,보령시,구장터로,,충청남도 보령시 대천동 261-9,36.34773351,126.5953017,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-fcaa43e4ec,충청남도,보령시,구장터로,충청남도 보령시 구장터로 48-4,충청남도 보령시 대천동 222-3,36.3470782,126.5952231,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
SMART-56a6498b05,충청남도,보령시,대해로,,충청남도 보령시 궁촌동 25-10,36.34343623,126.5947411,N,적외선센서,충청남도 보령시청 교통과,041-930-3991,2026-04-25,전국스마트가로등표준데이터.csv
