model,case_id,cabinet_uid,label,control_type,score_ami,score_duration,score_solar,score_asset,score_weather,total_score,candidate,rank
M0,ANOM-SY-CAB-1cd2be8800,SY-CAB-1cd2be8800,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,21
M0,ANOM-SY-CAB-1e5575ef40,SY-CAB-1e5575ef40,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,22
M0,ANOM-SY-CAB-245507b8f2,SY-CAB-245507b8f2,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,23
M0,ANOM-SY-CAB-248450b7b0,SY-CAB-248450b7b0,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,24
M0,ANOM-SY-CAB-2665e30f6b,SY-CAB-2665e30f6b,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,25
M0,ANOM-SY-CAB-2aa1ae2a5f,SY-CAB-2aa1ae2a5f,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,26
M0,ANOM-SY-CAB-37f3f2b32b,SY-CAB-37f3f2b32b,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,27
M0,ANOM-SY-CAB-3c6861d396,SY-CAB-3c6861d396,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,28
M0,ANOM-SY-CAB-4701a959c6,SY-CAB-4701a959c6,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,29
M0,ANOM-SY-CAB-4b02a9e27b,SY-CAB-4b02a9e27b,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,30
M0,ANOM-SY-CAB-4dd2e815cc,SY-CAB-4dd2e815cc,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,31
M0,ANOM-SY-CAB-50177e52f5,SY-CAB-50177e52f5,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,32
M0,ANOM-SY-CAB-502375414c,SY-CAB-502375414c,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,33
M0,ANOM-SY-CAB-50da942b62,SY-CAB-50da942b62,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,34
M0,ANOM-SY-CAB-5643046ecf,SY-CAB-5643046ecf,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,35
M0,ANOM-SY-CAB-5712016b2e,SY-CAB-5712016b2e,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,36
M0,ANOM-SY-CAB-5e5e2e417b,SY-CAB-5e5e2e417b,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,37
M0,ANOM-SY-CAB-63d66e1877,SY-CAB-63d66e1877,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,38
M0,ANOM-SY-CAB-66c30ac282,SY-CAB-66c30ac282,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,39
M0,ANOM-SY-CAB-6760905c21,SY-CAB-6760905c21,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,40
M0,ANOM-SY-CAB-69005e730c,SY-CAB-69005e730c,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,41
M0,ANOM-SY-CAB-6dc9777a03,SY-CAB-6dc9777a03,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,42
M0,ANOM-SY-CAB-715b5f5216,SY-CAB-715b5f5216,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,43
M0,ANOM-SY-CAB-7b2542c2bd,SY-CAB-7b2542c2bd,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,44
M0,ANOM-SY-CAB-8389649fa3,SY-CAB-8389649fa3,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,45
M0,ANOM-SY-CAB-84f0d25e33,SY-CAB-84f0d25e33,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,46
M0,ANOM-SY-CAB-987a63343c,SY-CAB-987a63343c,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,47
M0,ANOM-SY-CAB-9e585a96e3,SY-CAB-9e585a96e3,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,48
M0,ANOM-SY-CAB-a0094f6a60,SY-CAB-a0094f6a60,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,49
M0,ANOM-SY-CAB-aac150345f,SY-CAB-aac150345f,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,50
M0,ANOM-SY-CAB-b411ece2df,SY-CAB-b411ece2df,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,51
M0,ANOM-SY-CAB-ba3d522445,SY-CAB-ba3d522445,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,52
M0,ANOM-SY-CAB-bc9ff352d9,SY-CAB-bc9ff352d9,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,53
M0,ANOM-SY-CAB-cdf9b98e1d,SY-CAB-cdf9b98e1d,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,54
M0,ANOM-SY-CAB-d5d4f36cc5,SY-CAB-d5d4f36cc5,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,55
M0,ANOM-SY-CAB-d6a63b2385,SY-CAB-d6a63b2385,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,56
M0,ANOM-SY-CAB-d70c07505f,SY-CAB-d70c07505f,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,57
M0,ANOM-SY-CAB-dd85b9a3b7,SY-CAB-dd85b9a3b7,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,58
M0,ANOM-SY-CAB-e2da04e0e2,SY-CAB-e2da04e0e2,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,59
M0,ANOM-SY-CAB-fca94bf3bb,SY-CAB-fca94bf3bb,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,60
M0,ANOM-SY-CAB-ff01b34d1f,SY-CAB-ff01b34d1f,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,61
M0,CTRL-SY-CAB-156f778cd6,SY-CAB-156f778cd6,normal_control,D_normal_partial_operation,0.2,-0.0,0.0,0.0,0.0,0.2,True,62
M0,CTRL-SY-CAB-1b1dd89333,SY-CAB-1b1dd89333,normal_control,D_normal_partial_operation,0.2,-0.0,0.0,0.0,0.0,0.2,True,63
M0,CTRL-SY-CAB-1c211eb778,SY-CAB-1c211eb778,normal_control,D_normal_partial_operation,0.2,-0.0,0.0,0.0,0.0,0.2,True,64
M0,CTRL-SY-CAB-1fd5e1ea78,SY-CAB-1fd5e1ea78,normal_control,D_normal_partial_operation,0.2,-0.0,0.0,0.0,0.0,0.2,True,65
M0,CTRL-SY-CAB-2044ba36d4,SY-CAB-2044ba36d4,normal_control,D_normal_partial_operation,0.2,-0.0,0.0,0.0,0.0,0.2,True,66
M0,CTRL-SY-CAB-22101b6203,SY-CAB-22101b6203,normal_control,E_transient_spike,0.95,-0.7916666666666666,0.0,0.0,0.0,0.158333,False,67
M0,CTRL-SY-CAB-2293ce0a68,SY-CAB-2293ce0a68,normal_control,E_transient_spike,0.95,-0.7916666666666666,0.0,0.0,0.0,0.158333,False,68
M0,CTRL-SY-CAB-22dc9361ed,SY-CAB-22dc9361ed,normal_control,E_transient_spike,0.95,-0.7916666666666666,0.0,0.0,0.0,0.158333,False,69
M0,CTRL-SY-CAB-23088c37ed,SY-CAB-23088c37ed,normal_control,E_transient_spike,0.95,-0.7916666666666666,0.0,0.0,0.0,0.158333,False,70
M0,CTRL-SY-CAB-236d0f423d,SY-CAB-236d0f423d,normal_control,E_transient_spike,0.95,-0.7916666666666666,0.0,0.0,0.0,0.158333,False,71
M0,CTRL-SY-CAB-243ae11413,SY-CAB-243ae11413,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,72
M0,CTRL-SY-CAB-273bc4f898,SY-CAB-273bc4f898,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,73
M0,CTRL-SY-CAB-2b2fc4cd07,SY-CAB-2b2fc4cd07,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,74
M0,CTRL-SY-CAB-2b786604c6,SY-CAB-2b786604c6,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,75
M0,CTRL-SY-CAB-2c47a841fb,SY-CAB-2c47a841fb,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,76
M0,CTRL-SY-CAB-2cc33acf1b,SY-CAB-2cc33acf1b,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,77
M0,CTRL-SY-CAB-2f140c7dee,SY-CAB-2f140c7dee,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,78
M0,CTRL-SY-CAB-32e2c6c61f,SY-CAB-32e2c6c61f,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,79
M0,CTRL-SY-CAB-345b0591ca,SY-CAB-345b0591ca,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,80
M0,CTRL-SY-CAB-3596b767ab,SY-CAB-3596b767ab,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,81
M0,CTRL-SY-CAB-36b981d3dc,SY-CAB-36b981d3dc,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,82
M0,CTRL-SY-CAB-385021d05c,SY-CAB-385021d05c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,83
M0,CTRL-SY-CAB-389bbb2d5d,SY-CAB-389bbb2d5d,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,84
M0,CTRL-SY-CAB-3a76040023,SY-CAB-3a76040023,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,85
M0,CTRL-SY-CAB-3abf274d0a,SY-CAB-3abf274d0a,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,86
M0,CTRL-SY-CAB-3ba8bf40cf,SY-CAB-3ba8bf40cf,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,87
M0,CTRL-SY-CAB-3d1f747cee,SY-CAB-3d1f747cee,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,88
M0,CTRL-SY-CAB-3d620570ac,SY-CAB-3d620570ac,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,89
M0,CTRL-SY-CAB-3ddbf0de24,SY-CAB-3ddbf0de24,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,90
M0,CTRL-SY-CAB-3e06f82a0e,SY-CAB-3e06f82a0e,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,91
M0,CTRL-SY-CAB-3fd618fd12,SY-CAB-3fd618fd12,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,92
M0,CTRL-SY-CAB-40be76037a,SY-CAB-40be76037a,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,93
M0,CTRL-SY-CAB-44591d458f,SY-CAB-44591d458f,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,94
M0,CTRL-SY-CAB-4621a34bc8,SY-CAB-4621a34bc8,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,95
M0,CTRL-SY-CAB-47fff20e2c,SY-CAB-47fff20e2c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,96
M0,CTRL-SY-CAB-4823d13b52,SY-CAB-4823d13b52,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,97
M0,CTRL-SY-CAB-4bde8263ef,SY-CAB-4bde8263ef,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,98
M0,CTRL-SY-CAB-4ce73a3391,SY-CAB-4ce73a3391,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,99
M0,CTRL-SY-CAB-50c52cc6c9,SY-CAB-50c52cc6c9,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,100
M0,CTRL-SY-CAB-50e6b35fb5,SY-CAB-50e6b35fb5,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,101
M0,CTRL-SY-CAB-541d7205dd,SY-CAB-541d7205dd,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,102
M0,CTRL-SY-CAB-55569d0c8e,SY-CAB-55569d0c8e,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,103
M0,CTRL-SY-CAB-5602b31a50,SY-CAB-5602b31a50,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,104
M0,CTRL-SY-CAB-565718517b,SY-CAB-565718517b,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,105
M0,CTRL-SY-CAB-56c8e0734a,SY-CAB-56c8e0734a,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,106
M0,CTRL-SY-CAB-588dd5beeb,SY-CAB-588dd5beeb,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,107
M0,CTRL-SY-CAB-5a60f186e7,SY-CAB-5a60f186e7,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,108
M0,CTRL-SY-CAB-5b61a70385,SY-CAB-5b61a70385,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,109
M0,CTRL-SY-CAB-5be8a18eed,SY-CAB-5be8a18eed,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,110
M0,CTRL-SY-CAB-5e3a21e38c,SY-CAB-5e3a21e38c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,111
M0,CTRL-SY-CAB-5e96dcbabb,SY-CAB-5e96dcbabb,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,112
M0,CTRL-SY-CAB-63d4367c80,SY-CAB-63d4367c80,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,113
M0,CTRL-SY-CAB-646ea30325,SY-CAB-646ea30325,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,114
M0,CTRL-SY-CAB-6aaa863ac5,SY-CAB-6aaa863ac5,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,115
M0,CTRL-SY-CAB-7488bdc74f,SY-CAB-7488bdc74f,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,116
M0,CTRL-SY-CAB-76d9e09e78,SY-CAB-76d9e09e78,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,117
M0,CTRL-SY-CAB-76e690f057,SY-CAB-76e690f057,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,118
M0,CTRL-SY-CAB-7af43ed641,SY-CAB-7af43ed641,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,119
M0,CTRL-SY-CAB-7fdaaf1c36,SY-CAB-7fdaaf1c36,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,120
M0,CTRL-SY-CAB-85f9d54eaa,SY-CAB-85f9d54eaa,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,121
M0,CTRL-SY-CAB-89191950ab,SY-CAB-89191950ab,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,122
M0,CTRL-SY-CAB-8a139c8819,SY-CAB-8a139c8819,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,123
M0,CTRL-SY-CAB-8a36544a30,SY-CAB-8a36544a30,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,124
M0,CTRL-SY-CAB-8beb0740f3,SY-CAB-8beb0740f3,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,125
M0,CTRL-SY-CAB-8c32346369,SY-CAB-8c32346369,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,126
M0,CTRL-SY-CAB-8cf9ec612c,SY-CAB-8cf9ec612c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,127
M0,CTRL-SY-CAB-8d99d72371,SY-CAB-8d99d72371,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,128
M0,CTRL-SY-CAB-8e6b212e60,SY-CAB-8e6b212e60,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,129
M0,CTRL-SY-CAB-8f5ef9ce69,SY-CAB-8f5ef9ce69,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,130
M0,CTRL-SY-CAB-91a790ee47,SY-CAB-91a790ee47,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,131
M0,CTRL-SY-CAB-92de49aa37,SY-CAB-92de49aa37,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,132
M0,CTRL-SY-CAB-92eb2e5b2c,SY-CAB-92eb2e5b2c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,133
M0,CTRL-SY-CAB-933e0543f6,SY-CAB-933e0543f6,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,134
M0,CTRL-SY-CAB-937deb1a4d,SY-CAB-937deb1a4d,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,135
M0,CTRL-SY-CAB-9475205fe5,SY-CAB-9475205fe5,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,136
M0,CTRL-SY-CAB-963cc46567,SY-CAB-963cc46567,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,137
M0,CTRL-SY-CAB-966875a63c,SY-CAB-966875a63c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,138
M0,CTRL-SY-CAB-9757f5ca46,SY-CAB-9757f5ca46,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,139
M0,CTRL-SY-CAB-9a1335b0c3,SY-CAB-9a1335b0c3,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,140
M0,CTRL-SY-CAB-9a4fcd9616,SY-CAB-9a4fcd9616,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,141
M0,CTRL-SY-CAB-9b16398af5,SY-CAB-9b16398af5,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,142
M0,CTRL-SY-CAB-9f97df4c82,SY-CAB-9f97df4c82,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,143
M0,CTRL-SY-CAB-9fec55c536,SY-CAB-9fec55c536,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,144
M0,CTRL-SY-CAB-a42a4f4e8d,SY-CAB-a42a4f4e8d,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,145
M0,CTRL-SY-CAB-a68df7d176,SY-CAB-a68df7d176,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,146
M0,CTRL-SY-CAB-a715479152,SY-CAB-a715479152,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,147
M0,CTRL-SY-CAB-a96e62a3bc,SY-CAB-a96e62a3bc,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,148
M0,CTRL-SY-CAB-a9d5cc164f,SY-CAB-a9d5cc164f,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,149
M0,CTRL-SY-CAB-aec1bf9469,SY-CAB-aec1bf9469,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,150
M0,CTRL-SY-CAB-aec7dd5eb0,SY-CAB-aec7dd5eb0,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,151
M0,CTRL-SY-CAB-aedca82d53,SY-CAB-aedca82d53,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,152
M0,CTRL-SY-CAB-b1ddd2bdb1,SY-CAB-b1ddd2bdb1,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,153
M0,CTRL-SY-CAB-b30f5cbde4,SY-CAB-b30f5cbde4,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,154
M0,CTRL-SY-CAB-b32bddb84c,SY-CAB-b32bddb84c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,155
M0,CTRL-SY-CAB-b47e8f9727,SY-CAB-b47e8f9727,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,156
M0,CTRL-SY-CAB-b67fa2d367,SY-CAB-b67fa2d367,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,157
M0,CTRL-SY-CAB-b70f9ee7e7,SY-CAB-b70f9ee7e7,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,158
M0,CTRL-SY-CAB-b7ab059f4f,SY-CAB-b7ab059f4f,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,159
M0,CTRL-SY-CAB-b7da6f9acf,SY-CAB-b7da6f9acf,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,160
M0,CTRL-SY-CAB-b86f498cc3,SY-CAB-b86f498cc3,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,161
M0,CTRL-SY-CAB-b8be8cec6d,SY-CAB-b8be8cec6d,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,162
M0,CTRL-SY-CAB-bc70898630,SY-CAB-bc70898630,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,163
M0,CTRL-SY-CAB-be62abcbf5,SY-CAB-be62abcbf5,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,164
M0,CTRL-SY-CAB-bee6a8d850,SY-CAB-bee6a8d850,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,165
M0,CTRL-SY-CAB-c181d62281,SY-CAB-c181d62281,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,166
M0,CTRL-SY-CAB-c3d2aa0721,SY-CAB-c3d2aa0721,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,167
M0,CTRL-SY-CAB-c4dd5df0e5,SY-CAB-c4dd5df0e5,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,168
M0,CTRL-SY-CAB-c5506ce2f7,SY-CAB-c5506ce2f7,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,169
M0,CTRL-SY-CAB-c571e98945,SY-CAB-c571e98945,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,170
M0,CTRL-SY-CAB-c6be2c6456,SY-CAB-c6be2c6456,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,171
M0,CTRL-SY-CAB-c8c6110f22,SY-CAB-c8c6110f22,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,172
M0,CTRL-SY-CAB-c9a6edb47e,SY-CAB-c9a6edb47e,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,173
M0,CTRL-SY-CAB-ca98038b60,SY-CAB-ca98038b60,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,174
M0,CTRL-SY-CAB-caf55e3126,SY-CAB-caf55e3126,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,175
M0,CTRL-SY-CAB-cf229f9f07,SY-CAB-cf229f9f07,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,176
M0,CTRL-SY-CAB-cfd6ffef71,SY-CAB-cfd6ffef71,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,177
M0,CTRL-SY-CAB-d1f531bd7e,SY-CAB-d1f531bd7e,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,178
M0,CTRL-SY-CAB-d24a2598cf,SY-CAB-d24a2598cf,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,179
M0,CTRL-SY-CAB-d3316300a8,SY-CAB-d3316300a8,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,180
M0,CTRL-SY-CAB-d39b98ce61,SY-CAB-d39b98ce61,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,181
M0,CTRL-SY-CAB-d47a90f94c,SY-CAB-d47a90f94c,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,182
M0,CTRL-SY-CAB-d5dc4a7bb3,SY-CAB-d5dc4a7bb3,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,183
M0,CTRL-SY-CAB-d6b5d53967,SY-CAB-d6b5d53967,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,184
M0,CTRL-SY-CAB-d737cbd16d,SY-CAB-d737cbd16d,normal_control,,0.02,-0.02,0.0,0.0,0.0,0.0,False,185
