pair_group,case_id,weather_regime,official_timestamp,score_without_weather,weather_modifier,score_with_weather,rank,source
WEATHER-BASE-09,WEATHER-BASE-09-CLEAR,CLEAR,2026-05-18 13:00,0.503,-0.0,0.503,16,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-09,WEATHER-BASE-09-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.503,-0.0,0.503,17,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-09,WEATHER-BASE-09-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.503,-0.0,0.503,18,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-09,WEATHER-BASE-09-OVERCAST,OVERCAST,2026-02-02 08:00,0.503,-0.0,0.503,19,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-09,WEATHER-BASE-09-RAIN,RAIN,2026-08-17 03:00,0.503,-0.0,0.503,20,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-08,WEATHER-BASE-08-CLEAR,CLEAR,2026-05-18 13:00,0.497,-0.0,0.497,21,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-08,WEATHER-BASE-08-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.497,-0.0,0.497,22,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-08,WEATHER-BASE-08-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.497,-0.0,0.497,23,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-08,WEATHER-BASE-08-OVERCAST,OVERCAST,2026-02-02 08:00,0.497,-0.0,0.497,24,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-08,WEATHER-BASE-08-RAIN,RAIN,2026-08-17 03:00,0.497,-0.0,0.497,25,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-07,WEATHER-BASE-07-CLEAR,CLEAR,2026-05-18 13:00,0.491,-0.0,0.491,26,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-07,WEATHER-BASE-07-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.491,-0.0,0.491,27,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-07,WEATHER-BASE-07-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.491,-0.0,0.491,28,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-07,WEATHER-BASE-07-OVERCAST,OVERCAST,2026-02-02 08:00,0.491,-0.0,0.491,29,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-07,WEATHER-BASE-07-RAIN,RAIN,2026-08-17 03:00,0.491,-0.0,0.491,30,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-06,WEATHER-BASE-06-CLEAR,CLEAR,2026-05-18 13:00,0.485,-0.0,0.485,31,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-06,WEATHER-BASE-06-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.485,-0.0,0.485,32,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-06,WEATHER-BASE-06-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.485,-0.0,0.485,33,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-06,WEATHER-BASE-06-OVERCAST,OVERCAST,2026-02-02 08:00,0.485,-0.0,0.485,34,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-06,WEATHER-BASE-06-RAIN,RAIN,2026-08-17 03:00,0.485,-0.0,0.485,35,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-05,WEATHER-BASE-05-CLEAR,CLEAR,2026-05-18 13:00,0.479,-0.0,0.479,36,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-05,WEATHER-BASE-05-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.479,-0.0,0.479,37,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-05,WEATHER-BASE-05-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.479,-0.0,0.479,38,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-05,WEATHER-BASE-05-OVERCAST,OVERCAST,2026-02-02 08:00,0.479,-0.0,0.479,39,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-05,WEATHER-BASE-05-RAIN,RAIN,2026-08-17 03:00,0.479,-0.0,0.479,40,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-04,WEATHER-BASE-04-CLEAR,CLEAR,2026-05-18 13:00,0.473,-0.0,0.473,41,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-04,WEATHER-BASE-04-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.473,-0.0,0.473,42,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-04,WEATHER-BASE-04-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.473,-0.0,0.473,43,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-04,WEATHER-BASE-04-OVERCAST,OVERCAST,2026-02-02 08:00,0.473,-0.0,0.473,44,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-04,WEATHER-BASE-04-RAIN,RAIN,2026-08-17 03:00,0.473,-0.0,0.473,45,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-03,WEATHER-BASE-03-CLEAR,CLEAR,2026-05-18 13:00,0.467,-0.0,0.467,46,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-03,WEATHER-BASE-03-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.467,-0.0,0.467,47,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-03,WEATHER-BASE-03-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.467,-0.0,0.467,48,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-03,WEATHER-BASE-03-OVERCAST,OVERCAST,2026-02-02 08:00,0.467,-0.0,0.467,49,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-03,WEATHER-BASE-03-RAIN,RAIN,2026-08-17 03:00,0.467,-0.0,0.467,50,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-02,WEATHER-BASE-02-CLEAR,CLEAR,2026-05-18 13:00,0.461,-0.0,0.461,51,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-02,WEATHER-BASE-02-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.461,-0.0,0.461,52,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-02,WEATHER-BASE-02-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.461,-0.0,0.461,53,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-02,WEATHER-BASE-02-OVERCAST,OVERCAST,2026-02-02 08:00,0.461,-0.0,0.461,54,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-02,WEATHER-BASE-02-RAIN,RAIN,2026-08-17 03:00,0.461,-0.0,0.461,55,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-01,WEATHER-BASE-01-CLEAR,CLEAR,2026-05-18 13:00,0.455,-0.0,0.455,56,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-01,WEATHER-BASE-01-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.455,-0.0,0.455,57,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-01,WEATHER-BASE-01-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.455,-0.0,0.455,58,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-01,WEATHER-BASE-01-OVERCAST,OVERCAST,2026-02-02 08:00,0.455,-0.0,0.455,59,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-01,WEATHER-BASE-01-RAIN,RAIN,2026-08-17 03:00,0.455,-0.0,0.455,60,KMA_ASOS_HOURLY_OFFICIAL
